epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,630.188,1.15769,1.21144,1.71844,0.86896,0.77448,0.82424,0.41275,1.72064,1.23729,2.76232,0.001142,0.001142,0.001142
67,639.933,1.15191,1.17207,1.70696,0.84605,0.76221,0.8298,0.44406,1.57195,1.2688,2.49355,0.0011288,0.0011288,0.0011288
68,648.724,1.16177,1.1926,1.71473,0.88829,0.75453,0.8706,0.46896,1.58352,1.14828,2.37885,0.0011156,0.0011156,0.0011156
69,658.255,1.15061,1.20621,1.69788,0.85197,0.83212,0.83718,0.44229,1.65866,1.1698,2.60223,0.0011024,0.0011024,0.0011024
70,668.176,1.15907,1.23343,1.72068,0.84702,0.77372,0.86043,0.45245,1.52546,1.18288,2.43331,0.0010892,0.0010892,0.0010892
71,677.393,1.11859,1.16117,1.69683,0.86574,0.78832,0.86106,0.46855,1.48728,1.18634,2.34629,0.001076,0.001076,0.001076
72,686.716,1.1153,1.15135,1.68441,0.90606,0.77439,0.86355,0.45991,1.575,1.19163,2.48376,0.0010628,0.0010628,0.0010628
73,696.487,1.11087,1.14874,1.68741,0.88079,0.75508,0.84347,0.44963,1.59544,1.19927,2.5579,0.0010496,0.0010496,0.0010496
74,706.002,1.09558,1.11683,1.64732,0.85746,0.76642,0.80416,0.44189,1.53637,1.15937,2.46344,0.0010364,0.0010364,0.0010364
75,714.717,1.10401,1.11476,1.67186,0.8793,0.73723,0.83817,0.46506,1.46624,1.1584,2.32693,0.0010232,0.0010232,0.0010232
76,724.355,1.12307,1.12266,1.69254,0.90905,0.72263,0.84951,0.46416,1.52899,1.18067,2.45571,0.00101,0.00101,0.00101
77,733.857,1.09922,1.15326,1.67348,0.87476,0.76476,0.84947,0.4461,1.53689,1.22505,2.44136,0.0009968,0.0009968,0.0009968
78,742.682,1.08427,1.1203,1.64497,0.84279,0.78264,0.8283,0.45122,1.59204,1.16812,2.57541,0.0009836,0.0009836,0.0009836
79,752.518,1.12343,1.13295,1.68337,0.86462,0.78832,0.89786,0.49766,1.4389,1.07619,2.29874,0.0009704,0.0009704,0.0009704
80,762.309,1.1212,1.11008,1.67674,0.86308,0.54015,0.74358,0.40474,1.48987,1.31062,2.38725,0.0009572,0.0009572,0.0009572
81,771.118,1.05617,1.07219,1.63441,0.81329,0.78832,0.85717,0.50932,1.33566,1.05806,2.22324,0.000944,0.000944,0.000944
82,781.002,1.09381,1.08854,1.65689,0.89418,0.73723,0.86969,0.49003,1.43426,1.07937,2.34997,0.0009308,0.0009308,0.0009308
83,790.738,1.11434,1.10769,1.67233,0.7782,0.79562,0.83166,0.46376,1.41775,1.10027,2.33518,0.0009176,0.0009176,0.0009176
84,799.395,1.09801,1.10973,1.65346,0.76854,0.78102,0.82027,0.46435,1.45951,1.16806,2.37671,0.0009044,0.0009044,0.0009044
85,809.232,1.09237,1.07838,1.66157,0.9128,0.77372,0.85853,0.50721,1.39857,1.09944,2.23325,0.0008912,0.0008912,0.0008912
86,818.991,1.06277,1.08017,1.61228,0.84387,0.78907,0.88071,0.52394,1.38747,0.96708,2.17785,0.000878,0.000878,0.000878
87,827.842,1.06296,1.07258,1.63357,0.89084,0.7744,0.85762,0.47937,1.42608,1.02783,2.24561,0.0008648,0.0008648,0.0008648
88,837.188,1.04436,1.06556,1.62652,0.88277,0.78832,0.85683,0.45985,1.50424,1.10532,2.45587,0.0008516,0.0008516,0.0008516
89,846.881,1.0334,1.04898,1.60054,0.89142,0.75182,0.8543,0.47598,1.43174,1.07262,2.29042,0.0008384,0.0008384,0.0008384
90,855.852,1.07689,1.06099,1.63789,0.87582,0.75182,0.84583,0.48615,1.49911,1.20728,2.39875,0.0008252,0.0008252,0.0008252
91,865.206,1.08652,1.07409,1.65918,0.87702,0.72993,0.85523,0.50964,1.35279,1.11743,2.2453,0.000812,0.000812,0.000812
92,875.287,1.0355,1.0579,1.61782,0.87328,0.78102,0.87978,0.51155,1.41608,1.07393,2.30784,0.0007988,0.0007988,0.0007988
93,884.084,1.05361,1.04987,1.62266,0.83147,0.79226,0.87067,0.4776,1.50042,1.09782,2.39314,0.0007856,0.0007856,0.0007856
94,893.396,1.05765,1.04053,1.62165,0.92456,0.72993,0.87298,0.51005,1.44315,1.05441,2.24623,0.0007724,0.0007724,0.0007724
95,903.042,1.02777,1.03751,1.59243,0.91293,0.76642,0.82821,0.46277,1.47549,1.02698,2.39845,0.0007592,0.0007592,0.0007592
96,912.137,1.04178,1.02985,1.6153,0.8608,0.80292,0.86,0.50571,1.42662,1.01697,2.30237,0.000746,0.000746,0.000746
97,921.291,1.01339,1.02131,1.58199,0.88204,0.76415,0.81754,0.47557,1.46625,1.13321,2.43512,0.0007328,0.0007328,0.0007328
98,930.862,1.02106,1.01392,1.59761,0.88363,0.77599,0.86041,0.5143,1.41719,1.03358,2.26417,0.0007196,0.0007196,0.0007196
99,940.152,1.00677,1.01692,1.5718,0.8319,0.82482,0.86929,0.52668,1.39395,1.03897,2.24484,0.0007064,0.0007064,0.0007064
100,949.275,1.02297,1.02667,1.6016,0.89228,0.78599,0.87188,0.5272,1.42618,1.00063,2.24289,0.0006932,0.0006932,0.0006932
101,959.213,0.99253,0.98726,1.56854,0.92191,0.79562,0.88603,0.52566,1.40662,0.97205,2.22746,0.00068,0.00068,0.00068
102,968.802,0.98396,0.97479,1.55271,0.81108,0.82482,0.87977,0.52874,1.38639,0.98311,2.17492,0.0006668,0.0006668,0.0006668
103,977.871,0.99665,0.96689,1.57001,0.83811,0.83135,0.87341,0.51785,1.42631,1.03708,2.28747,0.0006536,0.0006536,0.0006536
104,987.527,0.97918,0.98666,1.56284,0.8772,0.79562,0.89389,0.50761,1.43989,1.04837,2.26157,0.0006404,0.0006404,0.0006404
105,997.357,0.98153,0.98357,1.56439,0.87552,0.80292,0.86715,0.48978,1.46909,1.11797,2.41876,0.0006272,0.0006272,0.0006272
106,1005.96,0.98574,0.99844,1.57767,0.87499,0.83212,0.87888,0.53555,1.36908,0.94897,2.17894,0.000614,0.000614,0.000614
107,1015.78,0.98315,0.96613,1.55976,0.86549,0.80292,0.87406,0.51021,1.4376,1.0309,2.17177,0.0006008,0.0006008,0.0006008
108,1025.62,0.94072,0.95935,1.53298,0.92844,0.75912,0.87931,0.52968,1.36609,0.97173,2.17587,0.0005876,0.0005876,0.0005876
109,1034.54,0.99461,0.98279,1.56356,0.91173,0.79562,0.89242,0.53444,1.38617,0.94922,2.20472,0.0005744,0.0005744,0.0005744
110,1044.5,0.97546,0.94852,1.55636,0.8872,0.82482,0.89231,0.52926,1.41999,0.96314,2.30343,0.0005612,0.0005612,0.0005612
111,1054.52,0.93321,0.96846,1.53541,0.8514,0.82482,0.88408,0.53236,1.36332,0.97154,2.15437,0.000548,0.000548,0.000548
112,1063.03,0.94483,0.96863,1.52545,0.8512,0.82482,0.90129,0.53989,1.30056,0.97422,2.10809,0.0005348,0.0005348,0.0005348
113,1072.84,0.97194,0.95588,1.56298,0.89906,0.84518,0.9037,0.55506,1.27643,0.94752,2.03018,0.0005216,0.0005216,0.0005216
114,1083.03,0.99108,0.96378,1.56827,0.84886,0.83212,0.87897,0.53697,1.32747,0.9933,2.14093,0.0005084,0.0005084,0.0005084
115,1092.12,0.9689,0.96042,1.5552,0.84504,0.79613,0.87918,0.53953,1.31819,0.97559,2.18059,0.0004952,0.0004952,0.0004952
116,1101.75,0.96325,0.95791,1.54679,0.89711,0.76377,0.90225,0.56685,1.26938,0.94155,2.05724,0.000482,0.000482,0.000482
117,1111.57,0.97006,0.94385,1.56055,0.90948,0.80673,0.90827,0.56115,1.2809,1.00091,2.06671,0.0004688,0.0004688,0.0004688
118,1121.17,0.93619,0.93357,1.5209,0.90252,0.79562,0.90021,0.54037,1.31841,0.94699,2.11582,0.0004556,0.0004556,0.0004556
119,1130.4,0.89188,0.88983,1.49053,0.91466,0.81022,0.89738,0.55692,1.26993,0.92169,2.07659,0.0004424,0.0004424,0.0004424
120,1140.36,0.95976,0.95874,1.5417,0.89976,0.85172,0.92994,0.53982,1.36587,0.96473,2.14628,0.0004292,0.0004292,0.0004292
121,1150.07,0.96613,0.9495,1.55874,0.88345,0.80292,0.87941,0.53674,1.3553,0.94336,2.21442,0.000416,0.000416,0.000416
122,1158.76,0.93044,0.9255,1.51869,0.85264,0.86131,0.91575,0.57162,1.26638,0.94538,2.04108,0.0004028,0.0004028,0.0004028
123,1168.73,0.94084,0.9333,1.52704,0.91969,0.81022,0.90525,0.55758,1.26441,0.92793,2.03624,0.0003896,0.0003896,0.0003896
124,1178.49,0.93112,0.92494,1.52946,0.87404,0.81037,0.87656,0.5393,1.30164,0.91255,2.14809,0.0003764,0.0003764,0.0003764
125,1186.98,0.92421,0.90348,1.51508,0.88909,0.81922,0.88442,0.53446,1.32103,0.89511,2.15328,0.0003632,0.0003632,0.0003632
126,1197.17,0.93359,0.90776,1.53845,0.91445,0.82482,0.91887,0.54986,1.29041,0.92837,2.04568,0.00035,0.00035,0.00035
127,1207.12,0.91653,0.87949,1.50416,0.86344,0.83076,0.90117,0.56139,1.2161,0.92809,1.94467,0.0003368,0.0003368,0.0003368
128,1216.05,0.94405,0.92224,1.53074,0.89543,0.81256,0.90262,0.52735,1.34018,0.90055,2.16189,0.0003236,0.0003236,0.0003236
129,1225.78,0.9305,0.9041,1.5284,0.905,0.81752,0.91362,0.54682,1.33546,0.91519,2.12825,0.0003104,0.0003104,0.0003104
